id,label,label_id,timestamp,year,month,day,year_month,source_dataset,text
255,True,0,2023-02-12 20:21:00,2023,2,12,2023-02,baochinhphu.vn,"đoàn cứu nạn cứu hộ việt nam tại thổ nhĩ kỳ hiện đang thực hiện theo hướng sử dụng các thiết bị chuyên dụng được mang từ việt nam sang . đó là những thiết bị khoan cắt bê tông , thiết bị dò tìm nạn nhân bằng sóng radar , cũng như thiết bị dò tìm nạn nhân bằng camera và âm thanh . đoàn cũng đang đồng thời kết hợp với các phương tiện cơ giới hiện có tại địa phương như máy xúc , máy cào , máy cẩu để phục vụ việc di dời , phá vỡ những tấm bê tông tại những khu vực có người bị nạn ."
404,True,0,2023-03-31 09:01:00,2023,3,31,2023-03,thanhnien.vn,"các quan chức từ 11 thành viên của hiệp định đối tác toàn diện và tiến bộ xuyên thái bình dương cptpp hôm nay 31.3 đã nhất trí về việc gia nhập cptpp của anh . "" họ hoan nghênh việc kết thúc đáng kể các cuộc đàm phán về việc vương quốc anh gia nhập cptpp"
366,False,1,2023-03-30 11:46:00,2023,3,30,2023-03,thanhnien.vn,"bác sĩ nhận định pin điện tử là dị vật nguy hiểm do đó , cần phải nhanh chóng lấy dị vật ra khỏi hốc mũi vì nguy cơ pin điện tử gây thủng vách ngăn , ăn mòn các cấu trúc quan trọng của hốc mũi"
724,False,1,2023-03-21 21:59:41,2023,3,21,2023-03,dantri.com.vn,"có sự việc thì học sinh mới giám nói nhưng để chắc chắn hay khẳng định đúng sự thực thì chưa thể rõ ràng . phía đơn vị sẽ báo cáo việc này lên sở gd đt nghệ an . đồng thời phối hợp với công an thành phố vinh vào cuộc điều tra xác minh thông tin để phụ huynh và học sinh yên tâm "" , bà thảo cho biết thêm"
76,False,1,2023-03-24 17:27:00,2023,3,24,2023-03,nld.com.vn,"việc thử nghiệm mô hình mới ki-ốt , đã "" không đáp ứng được kỳ vọng ban đầu "" . trong 6 tháng cuối năm ngoái , 150 ki-ốt đóng cửa . "" chúng tôi đang điều chỉnh mô hình này trong nửa đầu năm 2023 trước khi tiếp tục mở rộng quy mô "" - báo cáo thường niên của masan nêu theo đó , phúc long đã dừng mở rộng mô hình mini mà tập trung vào các cửa hàng đại diện thương hiệu flagship ."
2514,False,1,2023-03-29 12:55:00,2023,3,29,2023-03,thanhnien.vn,"ông nguyễn văn rộn , hiệu trưởng trường thcs nguyễn văn bứa huyện hóc môn , cho biết nhà trường có hợp đồng với công ty du lịch phối hợp tổ chức , mỗi học sinh đóng 400.000 đồng"
681,True,0,2023-03-27 03:00:00,2023,3,27,2023-03,nld.com.vn,"hứa hẹn sẽ mang lại nhiều giá trị văn hóa , tinh thần cùng những ích lợi về kinh tế district 1 midnight run 2023 "" đánh dấu sự trở lại mạnh mẽ của quận 1 nói riêng và tp hcm nói chung"
1021,False,1,2023-03-28 10:51:36,2023,3,28,2023-03,dantri.com.vn,"lợi nhuận gộp thu về của năm 2022 là 137 tỷ đồng so với con số 83 tỷ đồng của năm 2021 . trừ đi các chi phí hoạt động và liên quan , lợi nhuận sau thuế đạt gần 3.273 tỷ đồng ,"
1582,False,1,2023-03-28 11:45:03,2023,3,28,2023-03,dantri.com.vn,"ngân hàng nhà nước đang lấy ý kiến về dự thảo thông tư sửa đổi quy định về việc tổ chức tín dụng mua , bán trái phiếu doanh nghiệp . đánh giá về đề xuất cho phép các ngân hàng mua trái phiếu doanh nghiệp , ông thuân cho rằng đây là tin tức cực với thị trường ."
2485,False,1,2023-03-25 10:54:23,2023,3,25,2023-03,vnexpress.net,"đơn vị cùng các nhà thầu đang huy động nhân lực , vật tư và thiết bị để bắt đầu thi công trước ngày 104 . cầu hoàn thành sau 14 tháng thi công"
2256,False,1,2023-03-28 07:33:06,2023,3,28,2023-03,dantri.com.vn,"quyết định số 272018 qđ-ttg ban hành hệ thống ngành nghề kinh tế việt nam không có ngành nghề xuất , nhập khẩu hàng hóa . tuy nhiên , hoạt động xuất khẩu , nhập khẩu hàng hóa được tích hợp trong nội dung của ngành nghề bán buôn ,"
1779,True,0,2023-03-28 20:40:00,2023,3,28,2023-03,thanhnien.vn,""" lứa tuổi già nhất "" của thế hệ alpha là 12-13 tuổi , tức sinh năm 2010 . là thế hệ được sinh ra trong thời đại công nghệ và số hóa hoàn toàn nên có sự sáng tạo , linh hoạt và khả năng thích nghi với các công nghệ mới ."
548,True,0,2023-03-21 19:10:43,2023,3,21,2023-03,plo.vn,"với công tác lựa chọn nhà thầu , ban giao thông cần xác định các tiêu chuẩn , tiêu chí , điều kiện để lựa chọn nhà thầu phù hợp với thực tế và quy định của pháp luật ."
1642,True,0,2023-03-31 16:38:00,2023,3,31,2023-03,baotintuc.vn,nhà mạng vinaphone chính thức khóa chiều đi từ ngày 313 còn đại diện mobifone cũng khẳng định sẽ dừng cung cấp dịch vụ viễn thông chiều đi đối với các thuê bao chưa chuẩn hóa thông tin theo quy định vào đêm ngày 3132023 .
1865,False,1,2023-03-22 07:00:57,2023,3,22,2023-03,dantri.com.vn,"lâm thanh mỹ sinh năm 2005 , đóng phim từ năm 3 tuổi , đến nay đã có gần 15 năm làm nghề vai diễn trong đoạt hồn giúp lâm thanh mỹ có biệt danh là "" em bé đáng sợ nhất màn ảnh việt "" ."
2952,True,0,2023-03-24 12:39:00,2023,3,24,2023-03,thanhnien.vn,"nhận được nhiều sự quan tâm , chia sẻ của cư dân mạng . cặp vợ chồng chuyến đi của họ được thực hiện vài tháng trước ."
1854,False,1,2023-03-09 17:02:07,2023,3,9,2023-03,dantri.com.vn,"xuất hiện các triệu chứng đau ngực , khó thở , đau đầu , đau vùng cột sống thắt lưng , cô gái ở hà nội đến bv bạch mai khám . kết quả chẩn đoán nữ bệnh nhân 36 tuổi đã mắc ung thư phổi"
1520,True,0,2023-03-29 23:47:11,2023,3,29,2023-03,dantri.com.vn,"những đồn đoán trên mạng , "" một ca sĩ , đạo diễn kiêm nhà sản xuất nổi tiếng bị bắt vì liên quan đến vụ đánh bạc không ít dân mạng đặt nghi vấn đó là lý hải ."
1957,True,0,2023-03-13 21:41:42,2023,3,13,2023-03,vnexpress.net,"phó thủ tướng trần hồng hà yêu cầu sau chuyến thị sát công trình đoạn qua huyện bình chánh , tp hcm , chiều 133 . dự án cao tốc bến lức - long thành phải được gỡ vướng thủ tục trong tháng 4 , thi công trở lại một tháng sau đó ,"
787,True,0,2023-02-12 17:10:07,2023,2,12,2023-02,nld.com.vn,dòng điện thoại thông minh gt neo 5 của hãng realme trung quốc được cho là có thể sạc pin từ 0 - 100 chỉ trong 10 phút .
1896,True,0,2023-03-23 15:33:00,2023,3,23,2023-03,baochinhphu.vn,"việc phát triển tích hợp ứng dụng trí tuệ nhân tạo ai trong nông nghiệp đang ngày càng trở nên phổ biến , giúp nâng cao năng suất và hiệu quả sản xuất trong ngành nông nghiệp ."
113,True,0,2023-03-28 06:50:08,2023,3,28,2023-03,tienphong.vn,"danh anh vũ từng coi thường công việc lao động chân tay , giờ lại chấp nhận về quê quét dọn chuồng bò để kiếm tiền trả nợ . đạt mạnh hưng cũng bất ngờ bỏ đi biệt xứ khiến son kim oanh lo lắng . tố nsưt bùi như lai đến tìm nhài huyền thạch nhưng không gặp . tố hỏi người quen mới biết nhài đã vào miền nam với chồng con tập 44 phim dưới bóng cây hạnh phúc lên sóng lúc 21 h ngày 283 ."
1276,True,0,2023-03-29 17:25:11,2023,3,29,2023-03,tuoitre.vn,"ông kim sung han , người có công trong chính sách của hàn quốc với mỹ và nhật bản , xác nhận đã đệ đơn từ chức . ông là quan chức đối ngoại thứ ba bị thay thế chỉ trong vài tuần ở hàn quốc ."
2382,True,0,2023-03-28 18:39:24,2023,3,28,2023-03,dantri.com.vn,"khi chiếm quyền sử dụng tài khoản mạng xã hội , các đối tượng đã sử dụng công nghệ deepfake làm giả hình ảnh , âm thanh người quen của bị hại , từ đó yêu cầu chuyển tiền rồi chiếm đoạt ."
519,False,1,2023-02-22 13:16:24,2023,2,22,2023-02,tuoitre.vn,"các ấn phẩm xuất bản được phát hành rộng rãi từ tp đến xã , phường , thị trấn . đặc biệt , nội dung cũng đi vào chương trình giảng dạy học sinh và các lớp bồi dưỡng chính trị"
2383,False,1,2023-03-20 15:24:51,2023,3,20,2023-03,tienphong.vn,"ngày 173 , chúng tôi có mặt tại nhà chị nguyễn ngọc giàu 28 tuổi và anh kim chí thanh ngụ ấp 7 , xã tân lộc , huyện thới bình , tỉnh cà mau ."
293,False,1,2023-03-18 08:08:12,2023,3,18,2023-03,tienphong.vn,"các nhà thiên văn học đã chứng minh các lý thuyết về hố đen của einstein một lần nữa đúng các nhà nghiên cứu sử dụng kính viễn vọng chân trời sự kiện eht chụp được hình ảnh hố đen đầu tiên , họ đã chứng minh rằng einstein đã đúng về một số điều rất cụ thể"
3015,False,1,2023-03-25 15:48:58,2023,3,25,2023-03,dantri.com.vn,các thiết kế thắt lưng và kính râm của thương hiệu do victoria làm chủ cũng rất được công chúng ưa chuộng . dòng mỹ phẩm và sản phẩm chăm sóc da của victoria cũng được thị trường đón nhận tích cực .
668,False,1,2023-02-27 19:14:28,2023,2,27,2023-02,plo.vn,"cà mau đầu tư hơn 700 tỉ cho cơ sở vật chất giáo dục , trung bình mỗi năm hơn 100 tỉ trường đạt chuẩn mới đạt 68,9 ."
905,True,0,2023-03-24 09:36:23,2023,3,24,2023-03,plo.vn,"chủ tịch ubnd tỉnh đồng nai yêu cầu các cơ quan , đơn vị tiếp tục tập trung lãnh đạo , chỉ đạo , tổ chức triển khai kỷ luật , kỷ cương , đạo đức công vụ . tiếp tục quán triệt , triển khai các quy định về kỷ luật , kỷ cương hành chính , nhiệm vụ , công vụ năm 2023 ."
197,False,1,2023-03-11 11:30:47,2023,3,11,2023-03,dantri.com.vn,"sự xuất hiện của những đại đô thị sinh thái quy mô , hiện đại , với cái tên đậm nét hơn cả là "" quần thể đô thị biển "" 1.200 ha do vinhomes phát triển . kể từ "" viên gạch "" đầu tiên là vinhomes ocean park ra mắt năm 2018 tới vinhomes ocean park 3 - the crown vừa ra mắt tháng 102022 , "" quần thể đô thị biển "" đã làm nên một không gian sống xanh , sống khỏe cho cư dân ngay tại phía đông hà nội . đó là cả một hệ sinh thái "" biển "" gồm hàng loạt "" kỳ quan "" đã được vinh danh kỷ lục việt nam và thế giới , như "" biển hồ nước mặn 6,1 ha , hồ ngọc trai rộng 24,5 ha vinhomes ocean park ; tổ hợp công viên biển tạo sóng nhân tạo royal wave park diện tích hơn 18 ha vinhomes ocean park 2 - the empire ; "" vịnh biển bốn mùa "" paradise bay hơn 12 ha vinhomes ocean park 3 - the crown"
457,True,0,2023-03-23 23:17:28,2023,3,23,2023-03,nld.com.vn,"theo công bố của công ty gsm , taxi điện vinfast sẽ bắt đầu hoạt động từ tháng 4-2023 tại hà nội ngày 23-3 , đoàn taxi điện vinfast vf e34 khoảng 50 chiếc xuất phát từ nhà máy ôtô vinfast hải phòng di chuyển về hà nội đã thu hút sự chú ý của cộng đồng ."
2411,False,1,2023-03-15 19:24:19,2023,3,15,2023-03,tuoitre.vn,hàng chục ngàn người nga đã rời khỏi đất nước kể từ khi điện kremlin mở chiến dịch quân sự đặc biệt tại ukraine thanh niên nga rời đi sau khi matxcơva phát lệnh động viên một phần vào tháng 9 cùng năm
379,True,0,2023-03-28 14:16:10,2023,3,28,2023-03,tuoitre.vn,"theo kết luận , nguyên phó chủ tịch hà nội nguyễn thế hùng được giao ký văn bản về việc phê duyệt phương án lựa chọn nhà thầu , nguyên phó chủ tịch hà nội nguyễn doãn toản không được giao ký các văn bản về việc phê duyệt phương án lựa chọn nhà thầu theo phân công của ông chung , ông toản đã ký một văn bản phê duyệt phương án lựa chọn nhà thầu"
2583,True,0,2023-03-19 16:13:01,2023,3,19,2023-03,vnexpress.net,những tấm pin rộng một mét được đặt giữa hai thanh ray và siết chặt vào đường ray bằng cơ cấu piston . sun-ways đang triển khai pin mặt trời lắp ráp sẵn ở nhà máy tại thụy sĩ .
2966,False,1,2023-03-27 06:00:30,2023,3,27,2023-03,dantri.com.vn,chương trình chăm sóc động vật để giúp tù nhân tái hòa nhập cộng đồng . mèo và tù nhân chung sống trong nhà tù pendleton
2000,True,0,2023-03-31 07:00:00,2023,3,31,2023-03,thanhnien.vn,"9 trường đại học mỹ chấp nhận trao học bổng cho trần thị tường anh 18 tuổi , quê nghệ an , tường anh quyết định chọn wesleyan university để du học . wesleyan university xếp hạng 18 trong các trường đại học khai phóng , thuộc bang connecticut , mỹ ."
2740,True,0,2023-03-27 06:45:40,2023,3,27,2023-03,tienphong.vn,"nhiều doanh nghiệp kiến nghị lùi thời gian nộp thuế tiêu thụ đặc biệt ttđb năm 2023 , giảm 50 lệ phí trước bạ với xe sản xuất , lắp ráp trong nước"
1438,True,0,2023-03-22 18:46:30,2023,3,22,2023-03,dantri.com.vn,"khoảnh khắc trấn thành khóc nức nở tại buổi công bố phim của đàm vĩnh hưng sau chia sẻ của đàn anh , trấn thành bật khóc , nói về áp lực của giới nghệ sĩ : "" đời nghệ sĩ khó nuốt hơn quý vị nghĩ . nếu ai cảm thấy thích tiền , thích hào quang thì hãy thử lên đây chạm vào nó . hãy nếm 4 chữ "" hào quang rực rỡ "" đi để biết nó là cái gì "" . khi ngừng câu nói , ông xã hari won vẫn tiếp tục khóc nấc . thậm chí sau khi xuống sân khấu , nam nghệ sĩ vẫn tỏ ra xúc động , liên tục lau nước mắt ."
2900,True,0,2023-03-25 08:21:49,2023,3,25,2023-03,tuoitre.vn,"cụ thể trong các đoạn video và ảnh chia sẻ trên mạng xã hội ghi lại hình ảnh một bé trai mặc tã đang ngậm một ống hút gắn với một chiếc bình , bên cạnh đó là có người lớn đang châm tẩu"
108,True,0,2023-03-09 09:15:27,2023,3,9,2023-03,tuoitre.vn,"ngày 8-3 , harry và meghan ra thông báo về việc archie và lilibet sẽ có tước vị hoàng gia ."
546,False,1,2023-03-24 17:42:23,2023,3,24,2023-03,tuoitre.vn,"tại thời điểm kiểm tra , bộ thiết bị đang phát ra các tin nhắn rác sms đến điện thoại di động của người dân trong khu vực kiểm tra một ô tô biển số tỉnh quảng nam đang đậu tại trục đường hùng vương"
447,True,0,2023-03-23 23:55:00,2023,3,23,2023-03,baochinhphu.vn,"chỉ thị của thủ tướng chính phủ nêu rõ quan điểm , định hướng chỉ đạo điều hành là xác định giải ngân vốn đầu tư công là một trong những nhiệm vụ chính trị quan trọng hàng đầu của các cấp , các ngành , thực hiện điều hành chủ động , linh hoạt , kịp thời , hiệu quả phù hợp với tình hình và yêu cầu thực tiễn trên cơ sở chức năng , nhiệm vụ , quyền hạn"
118,False,1,2023-03-20 08:24:20,2023,3,20,2023-03,plo.vn,một nhóm tay súng bắn chết 9 và bắn bị thương 2 công dân trung quốc thi thể của các nạn nhân đã được đưa về thủ đô bangui
1026,True,0,2023-03-25 08:22:47,2023,3,25,2023-03,nld.com.vn,"khách tham quan 100.000 đồng lượt vừa bị cơ quan chức năng đình chỉ hoạt động . ngày 25-3 , ubnd phường hòa hiệp bắc , quận liên chiểu , tp đà nẵng , cho biết đã đình chỉ hoạt động khu du lịch dreamer in the forest ở khu vực suối lương thuộc phường này ."
645,False,1,2023-03-22 14:39:21,2023,3,22,2023-03,dantri.com.vn,dị tật hở môi và hàm ếch là khiếm khuyết bẩm sinh phổ biến nhất xảy ra tại vùng mặt và miệng . hiện nay tất cả các dị tật vùng hàm mặt đều có thể chỉnh sửa được .
1399,True,0,2023-03-29 22:16:00,2023,3,29,2023-03,baotintuc.vn,"ngày 293 who cho biết đã tiếp nhận thông tin về các ca bệnh marburg mới ở guinea xích đạo hiện vẫn là 9 ca , với 7 ca tử vong"
1901,True,0,2023-03-28 14:27:00,2023,3,28,2023-03,baochinhphu.vn,"một bệnh nhân nữ , 65 tuổi , ở nam định , vừa được các bác sĩ bóc tách thành công khối u tử cung nặng gần 10 kg ."
3024,False,1,2023-03-30 14:17:32,2023,3,30,2023-03,dantri.com.vn,"chỉ ra một số tồn tại , hạn chế khi chính sách xã hội kết quả giảm nghèo cũng được đánh giá chưa bền vững ; chất lượng nguồn nhân lực chưa cao ; bảo hiểm xã hội còn thấp , chưa thật sự hấp dẫn người lao động ; đầu tư chính sách xã hội còn có mặt chưa hiệu quả ... bộ chính trị cũng"
1396,True,0,2023-04-10 14:32:00,2023,4,10,2023-04,baochinhphu.vn,"xuất hiện những mô hình , cách làm hay , nhiều gương tập thể , cá nhân nhiều cách làm sáng tạo , hiệu quả , kết hợp hài hòa giữa mục tiêu kinh doanh và phục vụ nhiệm vụ chính trị tuy nhiên , ngoài những kết quả đạt được vẫn tồn tại những hạn chế , yếu kém"
603,True,0,2023-03-27 11:22:37,2023,3,27,2023-03,tienphong.vn,"theo lãnh đạo trung tâm đăng kiểm xe cơ giới 60.05 d , đến ngày 233 , trung tâm đã được công an tỉnh đồng nai trả lại máy móc , thiết bị , con dấu , giấy phép đăng ký kinh doanh ."
1316,False,1,2023-03-30 15:40:00,2023,3,30,2023-03,baotintuc.vn,"tính đến nay , hệ thống tiêu chuẩn quốc gia của việt nam hiện có khoảng 13.000 tcvn với mức độ hài hòa chung tiêu chuẩn quốc tế , tiêu chuẩn khu vực đạt khoảng 60 nhưng số lượng tiêu chuẩn việt nam về xe điện vẫn chưa đảm bảo nhu cầu từ thực tế ."
328,True,0,2023-03-28 12:15:27,2023,3,28,2023-03,dantri.com.vn,là do để chính trị can thiệp vào thể thao . fifa hủy lễ bốc thăm lý do liên đoàn bóng đá thế giới fifa hủy lễ bốc thăm world cup u20 2023 tước quyền đăng cai giải đấu
2878,True,0,2023-03-09 14:55:45,2023,3,9,2023-03,tuoitre.vn,"tiktok công bố kế hoạch cụ thể nhằm bảo vệ thông tin người dùng ở châu âu , giữa lúc ứng dụng mạng xã hội của trung quốc này đối mặt với sức ép lớn từ phương tây và có nguy cơ bị cấm ở mỹ ."
2260,False,1,2023-03-23 12:47:00,2023,3,23,2023-03,thanhnien.vn,nền tảng instagram phổ biến ... người dân có thể gửi thông tin liên quan đến người nước ngoài vi phạm pháp luật có 32.500 người theo dõi này .
2723,False,1,2023-03-24 22:30:31,2023,3,24,2023-03,vnexpress.net,"chuẩn đầu ra của chương trình này là chứng chỉ pearson edexcel với tên gọi iprimary tiểu học , ilowersecondary thcs và tú tài quốc tế international gcse thpt ."
2559,True,0,2023-03-26 08:17:05,2023,3,26,2023-03,tuoitre.vn,tổng cộng có 89.672 thí sinh từ 1.885 trường thpt của 61 tỉnh thành sẽ tham dự đợt 1 kỳ thi đánh giá năng lực của đại học quốc gia tp.hcm năm 2023
2436,False,1,2023-03-30 16:56:00,2023,3,30,2023-03,thanhnien.vn,"bộ phim được quay với nhiều cảnh đẹp ở nhật bản , trong đó có cảnh hoa anh đào rực rỡ và lãng mạn . khúc hát mặt trời phiên bản mới sẽ phát sóng vào lúc 21 giờ từ thứ hai đến thứ sáu hằng tuần trên kênh vtv1 , bắt đầu từ hôm nay 30.3 ."
1819,True,0,2023-03-13 20:11:29,2023,3,13,2023-03,nld.com.vn,"chiều tối ngày 13-3 chính thức công bố kết quả kỳ thi chọn học sinh giỏi quốc gia , năm học 2022 - 2023"
330,False,1,2023-03-09 16:11:32,2023,3,9,2023-03,plo.vn,tổng số đối tác nhật bản hợp tác đào tạo và việc làm cho sv đại học đông á lên hơn 130 đơn sẽ đóng góp cho sự phát triển địa phương và đất nước trong tương lai -
2685,True,0,2023-03-27 15:05:56,2023,3,27,2023-03,tienphong.vn,"chuẩn y chức danh chủ nhiệm ủy ban kiểm tra thành ủy thủ dầu một đối với ông phạm minh thiện - ủy viên ban thường vụ thành ủy , bí thư đảng ủy phường phú lợi . ngày 273 ,"
17,False,1,2023-03-30 13:36:33,2023,3,30,2023-03,dantri.com.vn,tổng giám đốc iaea cũng đang ở zaporizhzhia để tiếp tục nỗ lực đàm phán về các biện pháp bảo vệ nhà máy . các cuộc đàm phán cho đến nay đã bị đình trệ do nga từ chối rút lực lượng vũ trang khỏi nhà máy theo điều kiện tiên quyết mà ukraine đặt ra .
2679,False,1,2023-03-30 19:43:00,2023,3,30,2023-03,baotintuc.vn,"phó thủ tướng chính phủ trần lưu quang làm trưởng ban chỉ đạo liên ngành hội nhập quốc tế về chính trị , an ninh , quốc phòng ."
1871,True,0,2023-03-24 13:41:05,2023,3,24,2023-03,nld.com.vn,"nguyễn thị hà thành đứng đầu cùng các bị cáo tại phiên tòa tòa tuyên phạt bị cáo nguyễn thị hà thành mức án chung thân ; bị cáo nguyễn thị thu hương trưởng bộ phận khách hàng phòng giao dịch đông đô của vietabank 18 năm tù và đặng thị quỳnh hương trưởng phòng khách hàng cá nhân phòng giao dịch đông đô tổng hình phạt 17 năm tù . bị cáo quản trọng đức giám đốc chi nhánh hà nội , trưởng phòng giao dịch đông đô của vietabank 17 năm tù ; nguyễn thanh tùng 18 năm tù . các bị cáo còn lại bị tuyên mức án từ 12 tháng tù treo đến 14 năm tù ."
693,False,1,2023-03-01 13:13:55,2023,3,1,2023-03,plo.vn,"nội dung đa dạng , hình thức độc đáo , cùng nhiều thể loại văn học của các vị vua , quan triều nguyễn , cao tăng , trí thức , có niên đại trải dài từ nửa đầu thế kỷ xvii đến thế kỷ xx ma nhai ở danh thắng ngũ hành sơn mang nhiều giá trị vượt ra ngoài ranh giới của một quốc gia"
177,False,1,2023-03-27 15:02:00,2023,3,27,2023-03,baochinhphu.vn,"video ghi lại hình ảnh một bé trai mặc tã đang ngậm ống hút gắn với một chiếc bình thông tin kèm video clip về người đàn ông bạo hạnh , nghi ép bé trai hút ma túy lan truyền trên mạng xã hội"
37,False,1,2023-03-23 06:05:25,2023,3,23,2023-03,plo.vn,"bà lê thị nga , ủy viên chuyên trách ban văn hóa - xã hội hđnd tp.hcm cho biết ngoài các khoản thu quy định , báo cáo cho thấy nhà trường còn e dè trong khoản thu thỏa thuận từ cmhs"
1665,True,0,2023-03-27 18:10:49,2023,3,27,2023-03,tienphong.vn,"người dân tiết lộ tính cách của cặp đôi ép bé 3 tuổi hút ma túy ... liên quan vụ bé trai 3 tuổi nghi bị ép hút ma túy đá , công an huyện hóc môn tphcm đã đưa nguyễn thảo nguyên 23 tuổi , mẹ ruột bé trai và lê văn bậm 44 tuổi , chồng hờ của nguyên trở lại căn nhà , nơi họ từng sinh sống ở trong hẻm trên đường hậu lân 1 xã bà điểm , huyện hóc môn để thu thập chứng cứ"
611,True,0,2023-02-14 10:10:00,2023,2,14,2023-02,baochinhphu.vn,"cuộc họp tập trung vào 2 nội dung lớn , gồm : lễ kỷ niệm 80 năm đề cương về văn hóa việt nam và hội thảo khoa học quốc gia . chương trình lễ kỷ niệm có chủ đề "" đề cương về văn hóa việt nam - những dấu ấn lịch sử "" ,"
2461,True,0,2023-03-21 18:41:44,2023,3,21,2023-03,plo.vn,"sáng 21-3 , hiệp hội doanh nghiệp tỉnh thanh hóa tổ chức hội nghị tháo gỡ khó khăn trong sản xuất kinh doanh và tiếp cận tín dụng của doanh nghiệp trên địa bàn tỉnh . nóng chuyện lãi suất , vay vốn ngân hàng phát biểu tại hội nghị ,"
1095,True,0,2023-03-18 10:25:00,2023,3,18,2023-03,baotintuc.vn,thủ tướng israel cho biết quốc gia này bị mắc kẹt trong một tình huống phức tạp israel benjamin netanyahu giải thích israel không cấp vũ khí cho ukraine vì nước này bị ràng buộc bởi một số thỏa thuận nhất định với nga về nước láng giềng syria .
1967,True,0,2023-03-10 11:47:32,2023,3,10,2023-03,dantri.com.vn,new york là thành phố được nhiều người siêu giàu lựa chọn mua bất động sản nhất . tổng cộng có 21.714 người siêu giàu - những người có giá trị tài sản ròng trên 30 triệu usd - sở hữu một bất động sản chính hoặc phụ ở thành phố này
1104,False,1,2023-03-26 11:34:16,2023,3,26,2023-03,tienphong.vn,. kỳ thi được tổ chức tại 86 địa điểm thi với 47 cụm thi ở 21 tỉnh thành .
2041,True,0,2023-03-16 10:35:17,2023,3,16,2023-03,vnexpress.net,"nhiều năm qua , hàng trăm hộ dân sống trong cảnh chật chội , ẩm thấp , thiếu ánh sáng , có căn chỉ rộng 4-5 m2 ở khu mả lạng giữa trung tâm sài gòn"
1799,True,0,2023-03-24 10:23:49,2023,3,24,2023-03,tienphong.vn,"nhận định trước trận đấu hàn quốc vs colombia jurgen klinsmann sẽ có lần đầu tiên dẫn dắt đt hàn quốc , một trận đấu cực kỳ quan trọng trong chiến dịch chuẩn bị cho asian cup vào năm sau của đội bóng xứ kim chi ."
